,anthropic/claude-sonnet-4.5,tngtech/deepseek-r1t2-chimera:free,openai/gpt-4.1-mini,openai/o3,x-ai/grok-code-fast-1,google/gemini-3-pro-preview
ID1,0.254 ± 0.237,0.327 ± 0.31,0.298 ± 0.17,0.495 ± 0.27,0.167 ± 0.136,0.712 ± 0.175
ID2,0.227 ± 0.131,0.603 ± 0.154,0.331 ± 0.12,0.713 ± 0.106,0.427 ± 0.191,0.832 ± 0.104
OOD1,0.0 ± 0.0,0.29 ± 0.261,0.246 ± 0.099,0.509 ± 0.192,0.241 ± 0.207,0.597 ± 0.148
OOD2,0.0 ± 0.0,0.255 ± 0.214,0.165 ± 0.135,0.419 ± 0.282,0.225 ± 0.123,0.484 ± 0.201
OOD3,0.0 ± 0.0,0.272 ± 0.226,0.099 ± 0.085,0.388 ± 0.177,0.145 ± 0.115,0.792 ± 0.096
envGen_size,,0.597 ± 0.339,0.171 ± 0.117,0.798 ± 0.219,0.348 ± 0.289,0.76 ± 0.273
envGen_objects,,0.567 ± 0.369,0.324 ± 0.211,0.738 ± 0.147,0.383 ± 0.308,0.793 ± 0.233
