,tngtech/deepseek-r1t2-chimera:free,openai/gpt-4.1-mini,,openai/o3,x-ai/grok-code-fast-1,google/gemini-3-pro-preview
ID1,5 / 50,1 / 50,0 / 0,13 / 50,1 / 49,28 / 50
ID2,11 / 49,2 / 50,0 / 0,20 / 50,5 / 49,27 / 50
OOD1,0 / 50,0 / 50,0 / 0,8 / 50,0 / 46,18 / 50
OOD2,0 / 50,0 / 50,0 / 0,1 / 50,0 / 47,4 / 49
OOD3,1 / 49,0 / 50,0 / 0,13 / 50,0 / 48,15 / 50
envGen_size,13 / 50,1 / 50,0 / 0,24 / 50,5 / 45,36 / 49
envGen_objects,13 / 50,4 / 50,0 / 0,15 / 50,5 / 49,39 / 50
