,tngtech/deepseek-r1t2-chimera:free,openai/gpt-4.1-mini,,openai/o3,x-ai/grok-code-fast-1,google/gemini-3-pro-preview
ID1,0.57 ± 0.167,0.305 ± 0.127,,0.705 ± 0.169,0.321 ± 0.112,0.781 ± 0.156
ID2,0.618 ± 0.125,0.327 ± 0.09,,0.741 ± 0.124,0.401 ± 0.156,0.747 ± 0.108
OOD1,0.425 ± 0.208,0.178 ± 0.067,,0.638 ± 0.147,0.212 ± 0.128,0.604 ± 0.255
OOD2,0.338 ± 0.179,0.176 ± 0.058,,0.439 ± 0.198,0.104 ± 0.05,0.394 ± 0.116
OOD3,0.356 ± 0.113,0.178 ± 0.074,,0.605 ± 0.143,0.15 ± 0.094,0.607 ± 0.208
envGen_size,0.645 ± 0.227,0.255 ± 0.101,,0.826 ± 0.132,0.342 ± 0.3,0.815 ± 0.236
envGen_objects,0.63 ± 0.268,0.445 ± 0.127,,0.793 ± 0.167,0.348 ± 0.192,0.911 ± 0.136
